condition,token,weight
xprompt_p0to1,keep,-4.921548643980897e-05
xprompt_p0to1,balance,-4.2518749647127856e-05
xprompt_p0to1,number,-4.044307094247967e-05
xprompt_p0to1,job,-3.665404984905782e-05
xprompt_p0to1,never,-2.7938749527754948e-05
xprompt_p0to1,population,-2.0726636068000507e-05
xprompt_p0to1,interaction,1.884178875351603e-05
xprompt_p0to1,elected,1.134456492886241e-05
xprompt_p0to1,colleges,8.55213533890473e-06
xprompt_p0to1,share,0.15377434740396728
xprompt_p0to1,certainty,0.14828669696064975
xprompt_p0to1,tie,0.13209417378200333
xprompt_p0to1,highly,0.12311223165010934
xprompt_p0to1,states,0.11380568587504424
xprompt_p0to1,dear,0.10332465562097023
xprompt_p0to1,interests,0.10058571647498496
xprompt_p0to1,regions,0.09366907161221236
xprompt_p0to1,generally,0.07572085085355673
xprompt_p0to1,provides,-0.06561139829121784
xprompt_p0to1,combination,0.13048750286893418
xprompt_p0to1,pros,0.11803645404336889
xprompt_p0to1,broad,0.1150255717602758
xprompt_p0to1,after,-0.039931994696219386
xprompt_p0to1,ones,-0.033895458013696526
xprompt_p0to1,support,0.021698491732465505
xprompt_p0to1,sweet,-2.7068230179659194e-07
xprompt_p0to1,decide,-2.4063343498343164e-07
xprompt_p0to1,every,-2.4027765235541713e-07
xprompt_p0to1,democrate,-2.060235057009688e-07
xprompt_p0to1,electorate,-1.894386107908664e-07
xprompt_p0to1,flaw,-1.7568615958693663e-07
xprompt_p0to1,say,6.714030520833592e-08
xprompt_p0to1,republicans,6.572285101881565e-08
xprompt_p0to1,winner,5.110537670162253e-08
xprompt_p0to1,people,-0.00020230161794465576
xprompt_p0to1,college,-0.00018598947363744582
xprompt_p0to1,electoral,-0.000185331010401091
xprompt_p0to1,change,-0.0001700018823848488
xprompt_p0to1,senator,-0.00016994850676470123
xprompt_p0to1,honest,-0.000163495253173162
xprompt_p0to1,reality,9.87424946540119e-05
xprompt_p0to1,unlike,0.20490256284121688
xprompt_p0to1,campaign,0.1605994958025198
xprompt_p0to1,united,0.15242163734014708
xprompt_p0to1,tie,0.1382072786812544
xprompt_p0to1,certainty,0.11302126250475554
xprompt_p0to1,richard,0.0650034357246934
xprompt_p0to1,toss,0.054852230275842274
xprompt_p0to1,vote,-0.02960475489428925
xprompt_p0to1,voters,0.005770837935704208
xprompt_p0to1,ensures,0.2620152843200179
xprompt_p0to1,minimizes,0.19235422006032285
xprompt_p0to1,crucial,0.17927099469398536
xprompt_p0to1,candidate,0.17596434848521977
xprompt_p0to1,another,0.16789135707280503
xprompt_p0to1,likelihood,0.16427302975412422
xprompt_p0to1,popular,0.14702073931550694
xprompt_p0to1,states,-0.01297769854245154
xprompt_p0to1,decisions,-0.0070116717511824215
xprompt_p0to1,winning,-1.694729710698668e-05
xprompt_p0to1,amendment,-1.6594588852281447e-05
xprompt_p0to1,united,-1.5233521096122983e-05
xprompt_p0to1,part,-1.5058205754675266e-05
xprompt_p0to1,turn,-1.3137771193212805e-05
xprompt_p0to1,tecnology,-1.2456270779014244e-05
xprompt_p0to1,president,-9.38985714159659e-06
xprompt_p0to1,made,3.3253909796748696e-06
xprompt_p0to1,share,0.2070320576291938
xprompt_p0to1,requirement,0.16413059714472628
xprompt_p0to1,reasons,0.10005978384296842
xprompt_p0to1,health,0.0447844981110749
xprompt_p0to1,address,0.019195681303025305
xprompt_p0to1,outcome,0.018804174984220122
xprompt_p0to1,method,0.013048157175843825
xprompt_p0to1,girls,-0.000123958616593861
xprompt_p0to1,since,-0.00010982380431002044
xprompt_p0to1,broken,-8.920843324744098e-05
xprompt_p0to1,right,-8.150374105982446e-05
xprompt_p0to1,one,-7.100515198992766e-05
xprompt_p0to1,people,-5.807811254496598e-05
xprompt_p0to1,new,-2.5372379833964425e-05
xprompt_p0to1,improved,-2.464812168216819e-05
xprompt_p0to1,want,-1.79693237342862e-05
xprompt_p0to1,created,1.0833505350603247e-05
xprompt_p0to1,think,1.1817007635036369e-05
xprompt_p0to1,position,9.498268893963906e-06
xprompt_p0to1,thinks,-8.441454492082394e-06
xprompt_p0to1,liberal,-7.537608695021504e-06
xprompt_p0to1,rid,7.293251828902018e-06
xprompt_p0to1,dont,-7.096370356894443e-06
xprompt_p0to1,because,-7.06058201333905e-06
xprompt_p0to1,modern,-5.881023339322579e-06
xprompt_p0to1,off,0.14200717913705327
xprompt_p0to1,firstly,0.13127161095688814
xprompt_p0to1,representation,0.12959357068623578
xprompt_p0to1,provided,0.12868827608208402
xprompt_p0to1,plurality,0.10704128394845587
xprompt_p0to1,address,0.08184403671716933
xprompt_p0to1,swing,-0.04260579486458759
xprompt_p0to1,text,0.022940091880491155
xprompt_p0to1,unlikely,0.175090172034168
xprompt_p0to1,lead,0.17456614171760773
xprompt_p0to1,consists,0.1471822287930712
xprompt_p0to1,certainty,0.1459828187113906
xprompt_p0to1,vote,0.12681715503610483
xprompt_p0to1,topic,0.023582332779095667
xprompt_p0to1,enough,0.009138008021875331
xprompt_p0to1,certain,-0.00899444939309039
xprompt_p0to1,popular,-4.498359175677166e-06
xprompt_p0to1,doesn,-4.281769188234471e-06
xprompt_p0to1,choosing,-4.008715421612326e-06
xprompt_p0to1,electoral,-3.997378163077281e-06
xprompt_p0to1,idea,-3.8803031370034015e-06
xprompt_p0to1,votes,-3.419102247716028e-06
xprompt_p0to1,against,-1.2750646025127675e-06
xprompt_p0to1,twice,-7.327033608004606e-07
xprompt_p0to1,better,-4.694353799035937e-07
xprompt_p0to1,rights,-2.796174084686888e-07
xprompt_p0to1,good,-1.5420469789932943e-07
xprompt_p0to1,candidate,0.11597948608259136
xprompt_p0to1,campaign,0.10175545651380064
xprompt_p0to1,address,0.0881668143909797
xprompt_p0to1,winning,0.08522257900376111
xprompt_p0to1,say,0.07341924769492321
xprompt_p0to1,people,-0.02341148897962702
xprompt_p0to1,state,-0.017408688652650734
xprompt_p0to1,conclusion,0.00338559182728918
xprompt_p0to1,college,-3.5320276249612284e-05
xprompt_p0to1,lose,-3.3649692123780024e-05
xprompt_p0to1,wyoming,-3.001663253868068e-05
xprompt_p0to1,depends,-2.89234622680311e-05
xprompt_p0to1,compared,-2.309394628064344e-05
xprompt_p0to1,smaller,-3.942479885537297e-06
xprompt_p0to1,catogory,-1.3499775313296679e-06
xprompt_p0to1,believe,-5.20454726981975e-05
xprompt_p0to1,really,-5.0461208751130196e-05
xprompt_p0to1,elect,-4.576461178708519e-05
xprompt_p0to1,see,-3.887558560926779e-05
xprompt_p0to1,states,-3.562686429431888e-05
xprompt_p0to1,right,-3.5031652465539385e-05
xprompt_p0to1,president,-1.175995938988022e-05
xprompt_p0to1,used,5.105286374672236e-06
xprompt_p0to1,agree,0.11338439993575092
xprompt_p0to1,way,0.1112691693800923
xprompt_p0to1,knowledge,0.0974772200545862
xprompt_p0to1,along,0.09405021957090594
xprompt_p0to1,statement,-0.03625552897779195
xprompt_p0to1,them,-0.011918339394910897
xprompt_p0to1,hear,-5.3397134995952395e-06
xprompt_p0to1,experienced,-5.180993928187344e-06
xprompt_p0to1,good,-5.059662159206355e-06
xprompt_p0to1,gives,-4.968471464737063e-06
xprompt_p0to1,time,-4.40907037672399e-06
xprompt_p0to1,even,-4.151571699991482e-06
xprompt_p0to1,peoples,-1.6535448862476685e-06
xprompt_p0to1,another,-1.0885679813219596e-06
xprompt_p0to1,work,-7.41105463813305e-05
xprompt_p0to1,rade,-7.243054535866293e-05
xprompt_p0to1,held,-6.979789853459411e-05
xprompt_p0to1,colledge,-6.888891958701116e-05
xprompt_p0to1,colleges,-6.78108758650517e-05
xprompt_p0to1,amount,-6.7462191569242e-05
xprompt_p0to1,cheaper,-4.109435256259117e-05
xprompt_p0to1,them,2.6629543138366268e-05
xprompt_p0to1,election,-2.0026879965855273e-05
xprompt_p0to1,booths,9.368565190612493e-06
xprompt_p0to1,out,-6.797373762548382e-06
xprompt_p0to1,arguments,0.19263887148346576
xprompt_p0to1,unity,0.17369486372756826
xprompt_p0to1,hope,0.16980010518567198
xprompt_p0to1,outlined,0.14333029956851734
xprompt_p0to1,campaign,0.14320793938242735
xprompt_p0to1,significant,0.1315139119562772
xprompt_p0to1,address,0.130799648483986
xprompt_p0to1,regions,0.03683038612703841
xprompt_p0to1,explains,-0.02874683779707719
xprompt_p0to1,election,0.0006913274302039047
xprompt_p0to1,region,0.19547253873744655
xprompt_p0to1,share,0.16715634484796144
xprompt_p0to1,colle,0.14692102138139163
xprompt_p0to1,victory,0.14290058534256916
xprompt_p0to1,indefensible,0.11617287787463726
xprompt_p0to1,richard,-0.02262664278722665
xprompt_p0to1,dear,0.008586687877585715
xprompt_p0to1,choose,2.977766516888723e-05
xprompt_p0to1,though,-2.6298062986516117e-05
xprompt_p0to1,case,-2.6246738053724065e-05
xprompt_p0to1,ones,-2.4934187686984378e-05
xprompt_p0to1,reading,-2.201364182096242e-05
xprompt_p0to1,want,-7.068634267904378e-07
xprompt_p0to1,resonable,-0.0005175246822456363
xprompt_p0to1,vote,-0.0004779347374203915
xprompt_p0to1,home,-0.000402904749722977
xprompt_p0to1,want,-0.0003520556069374136
xprompt_p0to1,retirement,-0.00033540679137744075
xprompt_p0to1,himself,-1.0032709636922589e-05
xprompt_p0to1,factor,-9.872228752547962e-06
xprompt_p0to1,replacing,-8.832393070707555e-06
xprompt_p0to1,state,-7.862253491587998e-06
xprompt_p0to1,picking,-7.520663864073388e-06
xprompt_p0to1,oppose,-7.506750833578825e-06
xprompt_p0to1,over,-5.902600719035166e-06
xprompt_p0to1,collage,-1.2562385696691323e-06
xprompt_p0to1,fliped,-5.64357078680309e-07
xprompt_p0to1,slate,1.7525764520329005e-06
xprompt_p0to1,system,1.625756528488509e-06
xprompt_p0to1,vote,1.6201972904622673e-06
xprompt_p0to1,taken,4.929217539088637e-07
xprompt_p0to1,won,4.5053757081756e-07
xprompt_p0to1,winner,-2.541195686964794e-07
xprompt_p0to1,asked,2.0846822225350187e-07
xprompt_p0to1,another,-1.0426072647735173e-07
xprompt_p0to1,focusing,9.374904338516852e-08
xprompt_p0to1,winner,-1.4693591091609913e-05
xprompt_p0to1,wrong,-1.316756070152853e-05
xprompt_p0to1,sure,2.377653431035668e-06
xprompt_p0to1,elected,-1.6991866397926328e-06
xprompt_p0to1,crisis,-5.954531072171635e-07
xprompt_p0to1,help,2.0592580481600705e-07
xprompt_p0to1,senator,-0.0002589956221811369
xprompt_p0to1,votes,-0.00023588628233667358
xprompt_p0to1,shouod,-0.00023436865047028735
xprompt_p0to1,all,-0.00020861385731542621
xprompt_p0to1,wish,-0.00019800043098447162
xprompt_p0to1,insted,0.00017222907059844702
xprompt_p0to1,cause,-0.00016162711943135168
xprompt_p0to1,worry,0.00010974510035598637
xprompt_p0to1,electoral,-4.43824212734628e-05
xprompt_p0to1,voite,3.4776587793472357e-05
xprompt_p0to1,impact,0.21802952718221177
xprompt_p0to1,really,0.21478239150455872
xprompt_p0to1,reviewing,0.1950379441890291
xprompt_p0to1,align,0.18826633698288678
xprompt_p0to1,balance,0.18373817338566115
xprompt_p0to1,sides,0.12905267909823148
xprompt_p0to1,dear,0.0003274712511149658
xprompt_p0to1,lists,1.133180858097894e-05
xprompt_p0to1,order,1.0884523861502027e-05
xprompt_p0to1,about,1.0459408669295821e-05
xprompt_p0to1,reasons,9.398838681197579e-06
xprompt_p0to1,because,8.522395511771684e-06
xprompt_p0to1,college,-3.974878595438765e-06
xprompt_p0to1,etc,2.936136648117019e-06
xprompt_p0to1,knows,-2.482060334983918e-06
xprompt_p0to1,regional,-8.688130342371014e-07
xprompt_p0to1,risk,0.21451730723454188
xprompt_p0to1,register,0.20230088957946235
xprompt_p0to1,making,0.18051413853679366
xprompt_p0to1,range,0.17208155959290677
xprompt_p0to1,further,0.1487376338256634
xprompt_p0to1,candidates,0.13441404045815955
xprompt_p0to1,elections,0.07994936914067387
xprompt_p0to1,across,0.03011067900908761
xprompt_p0to1,thirdly,-0.024020808614344823
xprompt_p0to1,outline,0.1700593379133671
xprompt_p0to1,winning,0.16095960038005266
xprompt_p0to1,date,0.14708568321674276
xprompt_p0to1,importance,0.014478239925710411
xprompt_p0to1,victory,-0.00584800047704077
xprompt_p0to1,potential,0.20711902197185145
xprompt_p0to1,consequences,0.19956859235823604
xprompt_p0to1,especially,0.1763374873506578
xprompt_p0to1,court,0.1755228165516706
xprompt_p0to1,further,0.16727760469466485
xprompt_p0to1,important,0.15899890693194005
xprompt_p0to1,lead,0.14493184253617442
xprompt_p0to1,sentence,0.11015333990443417
xprompt_p0to1,role,-0.050776237294086764
xprompt_p0to1,fraud,-0.03492112340990159
xprompt_p0to1,misinterpretation,-0.015390056761327838
xprompt_p0to1,believe,0.2090142653963193
xprompt_p0to1,democratic,0.17772777517699137
xprompt_p0to1,aim,0.17523971372747396
xprompt_p0to1,greater,0.16286538656447352
xprompt_p0to1,like,0.10693625229066855
xprompt_p0to1,grassroots,0.10478400616965387
xprompt_p0to1,find,0.09447621481539775
xprompt_p0to1,directly,-0.039866373775031355
xprompt_p0to1,keeping,-0.037840323761488
xprompt_p0to1,despite,0.01289912014123504
xprompt_p0to1,undemocratic,0.1755787051367938
xprompt_p0to1,popular,0.16318957411604007
xprompt_p0to1,support,0.127932508881377
xprompt_p0to1,make,0.08690759686947595
xprompt_p0to1,having,0.0863188448255358
xprompt_p0to1,states,-0.032184900524371944
xprompt_p0to1,state,0.017152380951708644
xprompt_p0to1,ensures,0.2079543072239667
xprompt_p0to1,outcome,0.20585112331092126
xprompt_p0to1,lead,0.186711910800419
xprompt_p0to1,potential,0.1864075690699874
xprompt_p0to1,allows,0.13333589309677735
xprompt_p0to1,certainty,0.12163685748735047
xprompt_p0to1,share,0.12120065753437756
xprompt_p0to1,battles,0.11165480410425487
xprompt_p0to1,everyone,-0.039582186495605354
xprompt_p0to1,system,-0.039092832420983645
xprompt_p0to1,fair,-0.0189343006886595
xprompt_p0to1,way,-8.997204352837485e-07
xprompt_p0to1,time,-6.190186204097791e-07
xprompt_p0to1,popular,-5.87064281252387e-07
xprompt_p0to1,swing,-2.112343644745765e-07
xprompt_p0to1,people,-9.188585116621162e-08
xprompt_p0to1,idea,8.672970828169567e-08
xprompt_p0to1,count,4.740166154307979e-08
xprompt_p0to1,despised,2.2909110781120177e-07
xprompt_p0to1,moreover,2.1534687363281428e-07
xprompt_p0to1,chose,2.08151499489345e-07
xprompt_p0to1,bestlaid,-1.8109023318489307e-07
xprompt_p0to1,all,1.7877993350236877e-07
xprompt_p0to1,direct,-1.7245629857181952e-07
xprompt_p0to1,past,1.7028375492467492e-07
xprompt_p0to1,established,-1.3190737688177176e-07
xprompt_p0to1,indefensible,-1.2799265310697622e-07
